year,month,region,cnt
2020,8,충남,4252
2020,8,충북,3319
2020,9,강원,3340
2020,9,경기,18512
2020,9,경남,5617
2020,9,경북,5816
2020,9,광주,3151
2020,9,대구,12552
2020,9,대전,4083
2020,9,부산,4420
2020,9,서울,22118
2020,9,세종,1100
2020,9,울산,2204
2020,9,인천,4639
2020,9,전남,4759
2020,9,전북,2977
2020,9,제주,21107
2020,9,충남,4547
2020,9,충북,3467
2020,10,강원,3567
2020,10,경기,19332
2020,10,경남,5924
2020,10,경북,6314
2020,10,광주,3158
2020,10,대구,12550
2020,10,대전,4197
2020,10,부산,4696
2020,10,서울,22676
2020,10,세종,1106
2020,10,울산,2221
2020,10,인천,4729
2020,10,전남,4896
2020,10,전북,3130
2020,10,제주,21222
2020,10,충남,4878
2020,10,충북,3662
2020,11,강원,3810
2020,11,경기,19903
2020,11,경남,6137
2020,11,경북,6753
2020,11,광주,3162
2020,11,대구,12570
2020,11,대전,4415
2020,11,부산,5210
2020,11,서울,23052
2020,11,세종,1127
2020,11,울산,2249
2020,11,인천,4999
2020,11,전남,5055
2020,11,전북,3269
2020,11,제주,21261
2020,11,충남,5157
2020,11,충북,3794
2020,12,강원,4078
2020,12,경기,20477
2020,12,경남,6308
2020,12,경북,7051
2020,12,광주,3210
2020,12,대구,12630
2020,12,대전,4469
2020,12,부산,5355
2020,12,서울,23393
2020,12,세종,1148
2020,12,울산,2274
2020,12,인천,5366
2020,12,전남,5223
2020,12,전북,3323
2020,12,제주,21285
2020,12,충남,5489
2020,12,충북,3883
2021,1,강원,4076
2021,1,경기,20670
2021,1,경남,6369
2021,1,경북,7066
2021,1,광주,3210
2021,1,대구,12557
2021,1,대전,4463
2021,1,부산,5409
2021,1,서울,23441
2021,1,세종,1157
2021,1,울산,2269
2021,1,인천,5428
2021,1,전남,5251
2021,1,전북,3360
2021,1,제주,21206
2021,1,충남,5562
2021,1,충북,3897
2021,2,강원,4086
2021,2,경기,21100
2021,2,경남,6552
2021,2,경북,7149
2021,2,광주,3200
2021,2,대구,12846
2021,2,대전,4462
2021,2,부산,5512
2021,2,서울,23381
2021,2,세종,1186
2021,2,울산,2284
2021,2,인천,5517
2021,2,전남,5415
2021,2,전북,3363
2021,2,제주,21297
2021,2,충남,5575
2021,2,충북,4338
2021,3,강원,4280
2021,3,경기,23887
2021,3,경남,7220
2021,3,경북,7588
2021,3,광주,3504
2021,3,대구,13041
2021,3,대전,4885
2021,3,부산,6600
2021,3,서울,24918
2021,3,세종,1295
2021,3,울산,2527
2021,3,인천,6106
2021,3,전남,5773
2021,3,전북,3596
2021,3,제주,21832
2021,3,충남,5946
2021,3,충북,4688
2021,4,강원,4460
2021,4,경기,24841
2021,4,경남,7474
2021,4,경북,7773
2021,4,광주,3593
2021,4,대구,13142
2021,4,대전,4995
2021,4,부산,6821
2021,4,서울,25581
2021,4,세종,1317
2021,4,울산,2599
2021,4,인천,6312
2021,4,전남,6001
2021,4,전북,4054
2021,4,제주,21978
2021,4,충남,6269
2021,4,충북,4781
2021,5,강원,4750
2021,5,경기,26944
2021,5,경남,7867
2021,5,경북,8118
2021,5,광주,3813
2021,5,대구,13472
2021,5,대전,5222
2021,5,부산,7515
2021,5,서울,27013
2021,5,세종,1353
2021,5,울산,2734
2021,5,인천,6708
2021,5,전남,6222
2021,5,전북,4432
2021,5,제주,22148
2021,5,충남,6588
2021,5,충북,4952
2021,6,강원,5200
2021,6,경기,30030
2021,6,경남,8685
2021,6,경북,8676
2021,6,광주,4081
2021,6,대구,13974
2021,6,대전,5836
2021,6,부산,8503
2021,6,서울,28752
2021,6,세종,1404
2021,6,울산,2897
2021,6,인천,7790
2021,6,전남,6643
2021,6,전북,5104
2021,6,제주,22838
2021,6,충남,7254
2021,6,충북,5480
2021,7,강원,5485
2021,7,경기,31820
2021,7,경남,9244
2021,7,경북,9171
2021,7,광주,4242
2021,7,대구,14226
2021,7,대전,6143
2021,7,부산,8824
2021,7,서울,29325
2021,7,세종,1437
2021,7,울산,2943
2021,7,인천,8446
2021,7,전남,6956
2021,7,전북,5466
2021,7,제주,23262
2021,7,충남,8042
2021,7,충북,5934
2021,8,강원,5929
2021,8,경기,33832
2021,8,경남,9730
2021,8,경북,9683
2021,8,광주,4478
2021,8,대구,14632
2021,8,대전,6652
2021,8,부산,9525
2021,8,서울,31220
2021,8,세종,1509
2021,8,울산,3038
2021,8,인천,9370
2021,8,전남,7211
2021,8,전북,5826
2021,8,제주,23590
2021,8,충남,8426
2021,8,충북,6414
2021,9,강원,6266
2021,9,경기,35385
2021,9,경남,10274
2021,9,경북,10013
2021,9,광주,4722
2021,9,대구,15122
2021,9,대전,7134
2021,9,부산,10480
2021,9,서울,33434
2021,9,세종,1627
2021,9,울산,3167
2021,9,인천,10543
2021,9,전남,7574
2021,9,전북,6286
2021,9,제주,23845
2021,9,충남,8847
2021,9,충북,6801
2021,10,강원,6786
2021,10,경기,37084
2021,10,경남,11199
2021,10,경북,10373
2021,10,광주,4806
2021,10,대구,15753
2021,10,대전,7700
2021,10,부산,10939
2021,10,서울,35067
2021,10,세종,1680
2021,10,울산,3184
2021,10,인천,11295
2021,10,전남,7826
2021,10,전북,6733
2021,10,제주,24410
2021,10,충남,9480
2021,10,충북,7362
2021,11,강원,7231
2021,11,경기,38563
2021,11,경남,12122
2021,11,경북,10870
2021,11,광주,4978
2021,11,대구,16083
2021,11,대전,7737
2021,11,부산,11766
2021,11,서울,38840
2021,11,세종,1717
2021,11,울산,3149
2021,11,인천,11775
2021,11,전남,8042
2021,11,전북,7147
2021,11,제주,25381
2021,11,충남,9836
2021,11,충북,7731
2021,12,강원,7946
2021,12,경기,39958
2021,12,경남,12606
2021,12,경북,11240
2021,12,광주,5194
2021,12,대구,16185
2021,12,대전,7701
2021,12,부산,12375
2021,12,서울,40564
2021,12,세종,1859
2021,12,울산,3166
2021,12,인천,12820
2021,12,전남,8708
2021,12,전북,7365
2021,12,제주,25571
2021,12,충남,9991
2021,12,충북,8194
2022,1,강원,8042
2022,1,경기,40239
2022,1,경남,12725
2022,1,경북,11269
2022,1,광주,5204
2022,1,대구,16169
2022,1,대전,7675
2022,1,부산,12501
2022,1,서울,41140
2022,1,세종,1879
2022,1,울산,3180
2022,1,인천,12942
2022,1,전남,8837
2022,1,전북,7389
2022,1,제주,25580
2022,1,충남,10015
2022,1,충북,8184
2022,1,강원,8042
2022,1,경기,40239
2022,1,경남,12725
2022,1,경북,11269
2022,1,광주,5204
2022,1,대구,16169
2022,1,대전,7675
2022,1,부산,12501
2022,1,서울,41140
2022,1,세종,1879
2022,1,울산,3180
2022,1,인천,12942
2022,1,전남,8837
2022,1,전북,7389
2022,1,제주,25580
2022,1,충남,10015
2022,1,충북,8184
2022,2,강원,8179
2022,2,경기,41266
2022,2,경남,13536
2022,2,경북,11540
2022,2,광주,5652
2022,2,대구,17091
2022,2,대전,7902
2022,2,부산,13805
2022,2,서울,41693
2022,2,세종,1902
2022,2,울산,3405
2022,2,인천,13179
2022,2,전남,9203
2022,2,전북,7456
2022,2,제주,26184
2022,2,충남,10525
2022,2,충북,8664
2022,2,강원,8179
2022,2,경기,41266
2022,2,경남,13536
